datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2020-12-29 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2020-12-30 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2020-12-31 00:00:00+00:00,0.26,A,08142000,0.01,A,0.12,A
2021-01-01 00:00:00+00:00,0.21,A,08142000,0.08,A,0.11,A
2021-01-02 00:00:00+00:00,0.09,A,08142000,0.06,A,0.07,A
2021-01-03 00:00:00+00:00,0.06,A,08142000,0.05,A,0.05,A
2021-01-04 00:00:00+00:00,0.06,A,08142000,0.05,A,0.05,A
2021-01-05 00:00:00+00:00,0.07,A,08142000,0.05,A,0.06,A
2021-01-06 00:00:00+00:00,0.07,A,08142000,0.06,A,0.06,A
2021-01-07 00:00:00+00:00,0.08,A,08142000,0.06,A,0.07,A
2021-01-08 00:00:00+00:00,0.09,A,08142000,0.07,A,0.08,A
2021-01-09 00:00:00+00:00,0.1,A,08142000,0.08,A,0.09,A
2021-01-10 00:00:00+00:00,0.23,A,08142000,0.09,A,0.18,A
2021-01-11 00:00:00+00:00,0.25,A,08142000,0.21,A,0.24,A
2021-01-12 00:00:00+00:00,0.27,A,08142000,0.23,A,0.26,A
2021-01-13 00:00:00+00:00,0.3,A,08142000,0.25,A,0.27,A
2021-01-14 00:00:00+00:00,0.32,A,08142000,0.27,A,0.3,A
2021-01-15 00:00:00+00:00,0.35,A,08142000,0.29,A,0.32,A
2021-01-16 00:00:00+00:00,0.43,A,08142000,0.32,A,0.36,A
2021-01-17 00:00:00+00:00,0.51,A,08142000,0.41,A,0.43,A
2021-01-18 00:00:00+00:00,0.51,A,08142000,0.42,A,0.46,A
2021-01-19 00:00:00+00:00,0.6,A,08142000,0.46,A,0.53,A
2021-01-20 00:00:00+00:00,3.88,A,08142000,0.55,A,2.2,A
2021-01-21 00:00:00+00:00,2.58,A,08142000,1.58,A,2.01,A
2021-01-22 00:00:00+00:00,1.58,A,08142000,1.27,A,1.48,A
2021-01-23 00:00:00+00:00,1.27,A,08142000,1.27,A,1.27,A
2021-01-24 00:00:00+00:00,1.42,A,08142000,1.27,A,1.28,A
2021-01-25 00:00:00+00:00,1.42,A,08142000,1.27,A,1.34,A
2021-01-26 00:00:00+00:00,1.27,A,08142000,1.14,A,1.21,A
2021-01-27 00:00:00+00:00,1.14,A,08142000,0.82,A,1.01,A
2021-01-28 00:00:00+00:00,0.82,A,08142000,0.73,A,0.78,A
2021-01-29 00:00:00+00:00,0.82,A,08142000,0.73,A,0.78,A
2021-01-30 00:00:00+00:00,0.92,A,08142000,0.82,A,0.84,A
2021-01-31 00:00:00+00:00,0.92,A,08142000,0.65,A,0.77,A
2021-02-01 00:00:00+00:00,0.73,A,08142000,0.65,A,0.66,A
2021-02-02 00:00:00+00:00,0.82,A,08142000,0.65,A,0.73,A
2021-02-03 00:00:00+00:00,0.92,A,08142000,0.82,A,0.84,A
2021-02-04 00:00:00+00:00,1.02,A,08142000,0.82,A,0.83,A
2021-02-05 00:00:00+00:00,0.92,A,08142000,0.82,A,0.84,A
2021-02-06 00:00:00+00:00,0.92,A,08142000,0.82,A,0.83,A
2021-02-07 00:00:00+00:00,0.92,A,08142000,0.82,A,0.84,A
2021-02-08 00:00:00+00:00,0.92,A,08142000,0.65,A,0.81,A
2021-02-09 00:00:00+00:00,0.65,A,08142000,0.41,A,0.52,A
2021-02-10 00:00:00+00:00,0.41,A,08142000,0.29,A,0.36,A
2021-02-11 00:00:00+00:00,0.29,A,08142000,0.22,A,0.26,A
2021-02-12 00:00:00+00:00,0.25,A,08142000,0.16,A,0.2,A
2021-02-13 00:00:00+00:00,0.16,A,08142000,0.14,A,0.15,A
2021-02-14 00:00:00+00:00,0.17,A,08142000,0.13,A,0.14,A
2021-02-15 00:00:00+00:00,0.17,A,08142000,0.13,A,0.15,A
2021-02-16 00:00:00+00:00,0.15,A,08142000,0.13,A,0.13,A
2021-02-17 00:00:00+00:00,0.16,A,08142000,0.14,A,0.14,A
2021-02-18 00:00:00+00:00,0.16,A,08142000,0.13,A,0.14,A
2021-02-19 00:00:00+00:00,0.17,A,08142000,0.13,A,0.15,A
2021-02-20 00:00:00+00:00,0.17,A,08142000,0.15,A,0.16,A
2021-02-21 00:00:00+00:00,0.18,A,08142000,0.14,A,0.16,A
2021-02-22 00:00:00+00:00,0.15,A,08142000,0.12,A,0.13,A
2021-02-23 00:00:00+00:00,0.13,A,08142000,0.1,A,0.12,A
2021-02-24 00:00:00+00:00,0.11,A,08142000,0.08,A,0.1,A
2021-02-25 00:00:00+00:00,0.1,A,08142000,0.08,A,0.09,A
2021-02-26 00:00:00+00:00,0.09,A,08142000,0.08,A,0.09,A
2021-02-27 00:00:00+00:00,0.1,A,08142000,0.08,A,0.09,A
2021-02-28 00:00:00+00:00,0.1,A,08142000,0.07,A,0.09,A
2021-03-01 00:00:00+00:00,0.08,A,08142000,0.07,A,0.08,A
2021-03-02 00:00:00+00:00,0.08,A,08142000,0.07,A,0.07,A
2021-03-03 00:00:00+00:00,0.08,A,08142000,0.07,A,0.07,A
2021-03-04 00:00:00+00:00,0.07,A,08142000,0.06,A,0.07,A
2021-03-05 00:00:00+00:00,0.07,A,08142000,0.06,A,0.07,A
2021-03-06 00:00:00+00:00,0.07,A,08142000,0.06,A,0.06,A
2021-03-07 00:00:00+00:00,0.07,A,08142000,0.05,A,0.06,A
2021-03-08 00:00:00+00:00,0.06,A,08142000,0.05,A,0.05,A
2021-03-09 00:00:00+00:00,0.06,A,08142000,0.04,A,0.05,A
2021-03-10 00:00:00+00:00,0.05,A,08142000,0.05,A,0.05,A
2021-03-11 00:00:00+00:00,0.05,A,08142000,0.04,A,0.04,A
2021-03-12 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-03-13 00:00:00+00:00,0.03,A,08142000,0.02,A,0.03,A
2021-03-14 00:00:00+00:00,0.06,A,08142000,0.03,A,0.05,A
2021-03-15 00:00:00+00:00,0.05,A,08142000,0.03,A,0.04,A
2021-03-16 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-03-17 00:00:00+00:00,0.06,A,08142000,0.03,A,0.05,A
2021-03-18 00:00:00+00:00,0.05,A,08142000,0.04,A,0.05,A
2021-03-19 00:00:00+00:00,0.05,A,08142000,0.04,A,0.05,A
2021-03-20 00:00:00+00:00,0.06,A,08142000,0.04,A,0.05,A
2021-03-21 00:00:00+00:00,0.06,A,08142000,0.05,A,0.05,A
2021-03-22 00:00:00+00:00,0.46,A,08142000,0.05,A,0.17,A
2021-03-23 00:00:00+00:00,0.41,A,08142000,0.19,A,0.26,A
2021-03-24 00:00:00+00:00,0.19,A,08142000,0.14,A,0.17,A
2021-03-25 00:00:00+00:00,0.16,A,08142000,0.12,A,0.14,A
2021-03-26 00:00:00+00:00,0.14,A,08142000,0.1,A,0.12,A
2021-03-27 00:00:00+00:00,0.12,A,08142000,0.1,A,0.1,A
2021-03-28 00:00:00+00:00,0.1,A,08142000,0.08,A,0.09,A
2021-03-29 00:00:00+00:00,0.1,A,08142000,0.08,A,0.09,A
2021-03-30 00:00:00+00:00,0.1,A,08142000,0.09,A,0.09,A
2021-03-31 00:00:00+00:00,0.1,A,08142000,0.08,A,0.09,A
2021-04-01 00:00:00+00:00,0.09,A,08142000,0.07,A,0.08,A
2021-04-02 00:00:00+00:00,0.08,A,08142000,0.06,A,0.07,A
2021-04-03 00:00:00+00:00,0.08,A,08142000,0.06,A,0.07,A
2021-04-04 00:00:00+00:00,0.09,A,08142000,0.07,A,0.08,A
2021-04-05 00:00:00+00:00,0.1,A,08142000,0.08,A,0.09,A
2021-04-06 00:00:00+00:00,0.12,A,08142000,0.09,A,0.1,A
2021-04-07 00:00:00+00:00,0.09,A,08142000,0.08,A,0.09,A
2021-04-08 00:00:00+00:00,0.09,A,08142000,0.07,A,0.08,A
2021-04-09 00:00:00+00:00,0.09,A,08142000,0.06,A,0.08,A
2021-04-10 00:00:00+00:00,0.07,A,08142000,0.05,A,0.06,A
2021-04-11 00:00:00+00:00,0.06,A,08142000,0.04,A,0.05,A
2021-04-12 00:00:00+00:00,0.05,A,08142000,0.04,A,0.04,A
2021-04-13 00:00:00+00:00,0.04,A,08142000,0.03,A,0.04,A
2021-04-14 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-04-15 00:00:00+00:00,0.08,A,08142000,0.03,A,0.05,A
2021-04-16 00:00:00+00:00,0.08,A,08142000,0.07,A,0.07,A
2021-04-17 00:00:00+00:00,0.07,A,08142000,0.06,A,0.06,A
2021-04-18 00:00:00+00:00,0.06,A,08142000,0.05,A,0.06,A
2021-04-19 00:00:00+00:00,0.06,A,08142000,0.05,A,0.05,A
2021-04-20 00:00:00+00:00,0.06,A,08142000,0.04,A,0.05,A
2021-04-21 00:00:00+00:00,0.05,A,08142000,0.04,A,0.05,A
2021-04-22 00:00:00+00:00,0.05,A,08142000,0.04,A,0.05,A
2021-04-23 00:00:00+00:00,0.07,A,08142000,0.05,A,0.06,A
2021-04-24 00:00:00+00:00,0.08,A,08142000,0.06,A,0.07,A
2021-04-25 00:00:00+00:00,0.07,A,08142000,0.06,A,0.06,A
2021-04-26 00:00:00+00:00,0.06,A,08142000,0.05,A,0.06,A
2021-04-27 00:00:00+00:00,0.06,A,08142000,0.05,A,0.06,A
2021-04-28 00:00:00+00:00,34.1,A,08142000,0.05,A,3.77,A
2021-04-29 00:00:00+00:00,27.4,A,08142000,4.21,A,12.0,A
2021-04-30 00:00:00+00:00,4.21,A,08142000,1.14,A,2.11,A
2021-05-01 00:00:00+00:00,1.14,A,08142000,0.82,A,0.95,A
2021-05-02 00:00:00+00:00,0.92,A,08142000,0.58,A,0.77,A
2021-05-03 00:00:00+00:00,0.58,A,08142000,0.23,A,0.38,A
2021-05-04 00:00:00+00:00,0.26,A,08142000,0.23,A,0.24,A
2021-05-05 00:00:00+00:00,0.23,A,08142000,0.2,A,0.22,A
2021-05-06 00:00:00+00:00,0.23,A,08142000,0.2,A,0.21,A
2021-05-07 00:00:00+00:00,0.23,A,08142000,0.18,A,0.2,A
2021-05-08 00:00:00+00:00,0.18,A,08142000,0.12,A,0.14,A
2021-05-09 00:00:00+00:00,0.14,A,08142000,0.1,A,0.12,A
2021-05-10 00:00:00+00:00,0.12,A,08142000,0.1,A,0.11,A
2021-05-11 00:00:00+00:00,0.16,A,08142000,0.12,A,0.13,A
2021-05-12 00:00:00+00:00,0.14,A,08142000,0.12,A,0.12,A
2021-05-13 00:00:00+00:00,0.14,A,08142000,0.12,A,0.13,A
2021-05-14 00:00:00+00:00,0.18,A,08142000,0.14,A,0.15,A
2021-05-15 00:00:00+00:00,0.16,A,08142000,0.14,A,0.15,A
2021-05-16 00:00:00+00:00,0.16,A,08142000,0.08,A,0.11,A
2021-05-17 00:00:00+00:00,3.88,A,08142000,0.07,A,0.22,A
2021-05-18 00:00:00+00:00,40.5,A,08142000,2.8,A,13.8,A
2021-05-19 00:00:00+00:00,3.3,A,08142000,1.02,A,1.98,A
2021-05-20 00:00:00+00:00,1.02,A,08142000,0.41,A,0.66,A
2021-05-21 00:00:00+00:00,0.41,A,08142000,0.26,A,0.32,A
2021-05-22 00:00:00+00:00,0.26,A,08142000,0.23,A,0.24,A
2021-05-23 00:00:00+00:00,0.26,A,08142000,0.23,A,0.25,A
2021-05-24 00:00:00+00:00,0.23,A,08142000,0.2,A,0.22,A
2021-05-25 00:00:00+00:00,12.6,A,08142000,0.2,A,0.56,A
2021-05-26 00:00:00+00:00,13.3,A,08142000,0.73,A,3.19,A
2021-05-27 00:00:00+00:00,0.73,A,08142000,0.41,A,0.53,A
2021-05-28 00:00:00+00:00,0.52,A,08142000,0.41,A,0.44,A
2021-05-29 00:00:00+00:00,0.58,A,08142000,0.47,A,0.51,A
2021-05-30 00:00:00+00:00,0.47,A,08142000,0.41,A,0.46,A
2021-05-31 00:00:00+00:00,5.78,A,08142000,0.47,A,1.59,A
2021-06-01 00:00:00+00:00,3.04,A,08142000,0.92,A,1.54,A
2021-06-02 00:00:00+00:00,0.92,A,08142000,0.65,A,0.79,A
2021-06-03 00:00:00+00:00,0.65,A,08142000,0.58,A,0.63,A
2021-06-04 00:00:00+00:00,0.65,A,08142000,0.58,A,0.59,A
2021-06-05 00:00:00+00:00,0.65,A,08142000,0.58,A,0.62,A
2021-06-06 00:00:00+00:00,0.65,A,08142000,0.52,A,0.59,A
2021-06-07 00:00:00+00:00,0.58,A,08142000,0.52,A,0.57,A
2021-06-08 00:00:00+00:00,0.65,A,08142000,0.52,A,0.56,A
2021-06-09 00:00:00+00:00,0.58,A,08142000,0.52,A,0.55,A
2021-06-10 00:00:00+00:00,0.58,A,08142000,0.47,A,0.51,A
2021-06-11 00:00:00+00:00,0.52,A,08142000,0.41,A,0.47,A
2021-06-12 00:00:00+00:00,0.47,A,08142000,0.37,A,0.41,A
2021-06-13 00:00:00+00:00,0.41,A,08142000,0.29,A,0.35,A
2021-06-14 00:00:00+00:00,0.33,A,08142000,0.26,A,0.31,A
2021-06-15 00:00:00+00:00,0.29,A,08142000,0.26,A,0.28,A
2021-06-16 00:00:00+00:00,0.26,A,08142000,0.2,A,0.24,A
2021-06-17 00:00:00+00:00,0.23,A,08142000,0.18,A,0.2,A
2021-06-18 00:00:00+00:00,0.18,A,08142000,0.14,A,0.16,A
2021-06-19 00:00:00+00:00,0.2,A,08142000,0.09,A,0.13,A
2021-06-20 00:00:00+00:00,0.09,A,08142000,0.05,A,0.08,A
2021-06-21 00:00:00+00:00,0.05,A,08142000,0.04,A,0.05,A
2021-06-22 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-06-23 00:00:00+00:00,0.03,A,08142000,0.02,A,0.03,A
2021-06-24 00:00:00+00:00,0.02,A,08142000,0.01,A,0.02,A
2021-06-25 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-06-26 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-06-27 00:00:00+00:00,0.01,A,08142000,0.0,A,0.0,A
2021-06-28 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-06-29 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-06-30 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-01 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-02 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-03 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-04 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-05 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-06 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-07 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-08 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-09 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-10 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-11 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-12 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-13 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-14 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-15 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-16 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-17 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-18 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-19 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-20 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-21 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-22 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-23 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-24 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-25 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-26 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-27 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-28 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-29 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-30 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-07-31 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-01 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-02 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-03 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-04 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-05 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-06 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-07 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-08 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-09 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-10 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-11 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-12 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-13 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-14 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-15 00:00:00+00:00,2.8,A,08142000,0.0,A,0.6,A
2021-08-16 00:00:00+00:00,0.41,A,08142000,0.01,A,0.06,A
2021-08-17 00:00:00+00:00,0.01,A,08142000,0.0,A,0.0,A
2021-08-18 00:00:00+00:00,138.0,A,08142000,0.0,A,35.9,A
2021-08-19 00:00:00+00:00,18.4,A,08142000,0.47,A,3.99,A
2021-08-20 00:00:00+00:00,1.76,A,08142000,0.1,A,0.39,A
2021-08-21 00:00:00+00:00,0.1,A,08142000,0.04,A,0.06,A
2021-08-22 00:00:00+00:00,0.04,A,08142000,0.02,A,0.03,A
2021-08-23 00:00:00+00:00,0.02,A,08142000,0.02,A,0.02,A
2021-08-24 00:00:00+00:00,0.02,A,08142000,0.01,A,0.01,A
2021-08-25 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-08-26 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-08-27 00:00:00+00:00,0.01,A,08142000,0.0,A,0.01,A
2021-08-28 00:00:00+00:00,0.01,A,08142000,0.0,A,0.0,A
2021-08-29 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-30 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-08-31 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-01 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-02 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-03 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-04 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-05 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-06 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-07 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-08 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-09 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-10 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-11 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-12 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-13 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-14 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-15 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-16 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-17 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-18 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-19 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-20 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-21 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-22 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-23 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-24 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-25 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-26 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-27 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-28 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-29 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-09-30 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-01 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-02 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-03 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-04 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-05 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-06 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-07 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-08 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-09 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-10 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-11 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-12 00:00:00+00:00,0.0,A,08142000,0.0,A,0.0,A
2021-10-13 00:00:00+00:00,81.6,A,08142000,0.0,A,11.9,A
2021-10-14 00:00:00+00:00,4.51,A,08142000,0.09,A,0.71,A
2021-10-15 00:00:00+00:00,0.09,A,08142000,0.02,A,0.05,A
2021-10-16 00:00:00+00:00,0.02,A,08142000,0.01,A,0.02,A
2021-10-17 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-10-18 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-10-19 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-10-20 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-10-21 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-10-22 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-10-23 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-10-24 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-10-25 00:00:00+00:00,0.01,A,08142000,0.01,A,0.01,A
2021-10-26 00:00:00+00:00,0.02,A,08142000,0.01,A,0.01,A
2021-10-27 00:00:00+00:00,0.1,A,08142000,0.02,A,0.06,A
2021-10-28 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-10-29 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-10-30 00:00:00+00:00,0.03,A,08142000,0.03,A,0.03,A
2021-10-31 00:00:00+00:00,0.03,A,08142000,0.03,A,0.03,A
2021-11-01 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-11-02 00:00:00+00:00,0.04,A,08142000,0.03,A,0.04,A
2021-11-03 00:00:00+00:00,0.06,A,08142000,0.04,A,0.05,A
2021-11-04 00:00:00+00:00,0.06,A,08142000,0.06,A,0.06,A
2021-11-05 00:00:00+00:00,0.07,A,08142000,0.06,A,0.07,A
2021-11-06 00:00:00+00:00,0.08,A,08142000,0.06,A,0.07,A
2021-11-07 00:00:00+00:00,0.08,A,08142000,0.07,A,0.08,A
2021-11-08 00:00:00+00:00,0.09,A,08142000,0.07,A,0.08,A
2021-11-09 00:00:00+00:00,0.09,A,08142000,0.09,A,0.09,A
2021-11-10 00:00:00+00:00,0.1,A,08142000,0.09,A,0.09,A
2021-11-11 00:00:00+00:00,0.1,A,08142000,0.08,A,0.09,A
2021-11-12 00:00:00+00:00,0.09,A,08142000,0.08,A,0.08,A
2021-11-13 00:00:00+00:00,0.08,A,08142000,0.07,A,0.08,A
2021-11-14 00:00:00+00:00,0.09,A,08142000,0.07,A,0.08,A
2021-11-15 00:00:00+00:00,0.09,A,08142000,0.08,A,0.08,A
2021-11-16 00:00:00+00:00,0.09,A,08142000,0.08,A,0.09,A
2021-11-17 00:00:00+00:00,0.11,A,08142000,0.08,A,0.09,A
2021-11-18 00:00:00+00:00,0.09,A,08142000,0.07,A,0.08,A
2021-11-19 00:00:00+00:00,0.09,A,08142000,0.07,A,0.08,A
2021-11-20 00:00:00+00:00,0.1,A,08142000,0.09,A,0.09,A
2021-11-21 00:00:00+00:00,0.12,A,08142000,0.1,A,0.1,A
2021-11-22 00:00:00+00:00,0.12,A,08142000,0.1,A,0.11,A
2021-11-23 00:00:00+00:00,0.12,A,08142000,0.11,A,0.11,A
2021-11-24 00:00:00+00:00,0.14,A,08142000,0.11,A,0.12,A
2021-11-25 00:00:00+00:00,0.11,A,08142000,0.08,A,0.09,A
2021-11-26 00:00:00+00:00,0.09,A,08142000,0.08,A,0.08,A
2021-11-27 00:00:00+00:00,0.09,A,08142000,0.08,A,0.09,A
2021-11-28 00:00:00+00:00,0.09,A,08142000,0.06,A,0.08,A
2021-11-29 00:00:00+00:00,0.06,A,08142000,0.04,A,0.05,A
2021-11-30 00:00:00+00:00,0.04,A,08142000,0.04,A,0.04,A
2021-12-01 00:00:00+00:00,0.04,A,08142000,0.03,A,0.04,A
2021-12-02 00:00:00+00:00,0.04,A,08142000,0.03,A,0.04,A
2021-12-03 00:00:00+00:00,0.04,A,08142000,0.03,A,0.04,A
2021-12-04 00:00:00+00:00,0.03,A,08142000,0.02,A,0.03,A
2021-12-05 00:00:00+00:00,0.03,A,08142000,0.02,A,0.03,A
2021-12-06 00:00:00+00:00,0.03,A,08142000,0.02,A,0.03,A
2021-12-07 00:00:00+00:00,0.03,A,08142000,0.03,A,0.03,A
2021-12-08 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-12-09 00:00:00+00:00,0.05,A,08142000,0.04,A,0.04,A
2021-12-10 00:00:00+00:00,0.04,A,08142000,0.03,A,0.04,A
2021-12-11 00:00:00+00:00,0.04,A,08142000,0.03,A,0.04,A
2021-12-12 00:00:00+00:00,0.03,A,08142000,0.03,A,0.03,A
2021-12-13 00:00:00+00:00,0.03,A,08142000,0.03,A,0.03,A
2021-12-14 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-12-15 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-12-16 00:00:00+00:00,0.04,A,08142000,0.03,A,0.03,A
2021-12-17 00:00:00+00:00,0.03,A,08142000,0.03,A,0.03,A
2021-12-18 00:00:00+00:00,0.03,A,08142000,0.02,A,0.03,A
2021-12-19 00:00:00+00:00,0.03,A,08142000,0.02,A,0.02,A
2021-12-20 00:00:00+00:00,0.03,A,08142000,0.02,A,0.02,A
